label,documents_seen,vocabulary
general,1,12.09
general,2,21.82
general,3,30.115
general,4,37.87
general,5,44.685
general,6,51.23
general,7,56.58
general,8,61.525
general,9,66.21
general,10,70.545
general,11,74.425
general,12,77.885
general,13,81.105
general,14,84.175
general,15,87.515
general,16,90.44
general,17,92.945
general,18,95.13
general,19,97.225
general,20,99.48
general,21,101.55
general,22,103.49
general,23,105.12
general,24,106.48
general,25,107.95
general,26,109.38
general,27,110.675
general,28,112.085
general,29,113.065
general,30,114.105
general,31,115.325
general,32,116.18
general,33,117.095
general,34,118.145
general,35,118.98
general,36,119.855
general,37,120.675
general,38,121.375
general,39,121.91
general,40,122.665
general,41,123.455
general,42,123.96
general,43,124.62
general,44,125.045
general,45,125.685
general,46,126.08
general,47,126.385
general,48,126.68
general,49,127.14
general,50,127.575
account-access,1,15.375
account-access,2,27.9
account-access,3,38.68
account-access,4,47.8
account-access,5,55.745
account-access,6,62.535
account-access,7,68.375
account-access,8,73.785
account-access,9,78.585
account-access,10,82.88
account-access,11,86.86
account-access,12,90.665
account-access,13,93.635
account-access,14,96.5
account-access,15,99.25
account-access,16,101.95
account-access,17,103.79
account-access,18,105.805
account-access,19,107.535
account-access,20,109.12
account-access,21,110.365
account-access,22,111.875
account-access,23,113.215
account-access,24,114.525
account-access,25,115.615
account-access,26,116.795
account-access,27,117.74
account-access,28,118.62
account-access,29,119.375
account-access,30,120.55
account-access,31,121.595
account-access,32,122.305
account-access,33,122.935
account-access,34,123.46
account-access,35,124.04
account-access,36,124.475
account-access,37,124.915
account-access,38,125.165
account-access,39,125.45
account-access,40,125.855
account-access,41,126.105
account-access,42,126.415
account-access,43,126.76
account-access,44,127.025
account-access,45,127.26
account-access,46,127.44
account-access,47,127.74
account-access,48,128.11
account-access,49,128.32
account-access,50,128.515
transaction-dispute,1,15.675
transaction-dispute,2,28.535
transaction-dispute,3,39.945
transaction-dispute,4,49.485
transaction-dispute,5,57.835
transaction-dispute,6,65.37
transaction-dispute,7,71.705
transaction-dispute,8,77.47
transaction-dispute,9,82.76
transaction-dispute,10,87.13
transaction-dispute,11,91.49
transaction-dispute,12,95.585
transaction-dispute,13,99.27
transaction-dispute,14,102.33
transaction-dispute,15,105.29
transaction-dispute,16,108.265
transaction-dispute,17,110.885
transaction-dispute,18,113.285
transaction-dispute,19,115.605
transaction-dispute,20,117.34
transaction-dispute,21,119.31
transaction-dispute,22,121.14
transaction-dispute,23,122.57
transaction-dispute,24,124.12
transaction-dispute,25,125.575
transaction-dispute,26,126.76
transaction-dispute,27,127.84
transaction-dispute,28,128.895
transaction-dispute,29,129.955
transaction-dispute,30,130.94
transaction-dispute,31,131.945
transaction-dispute,32,132.74
transaction-dispute,33,133.55
transaction-dispute,34,134.21
transaction-dispute,35,134.77
transaction-dispute,36,135.205
transaction-dispute,37,135.59
transaction-dispute,38,136.09
transaction-dispute,39,136.52
transaction-dispute,40,136.915
transaction-dispute,41,137.25
transaction-dispute,42,137.72
transaction-dispute,43,138.08
transaction-dispute,44,138.43
transaction-dispute,45,138.685
transaction-dispute,46,139.03
transaction-dispute,47,139.375
transaction-dispute,48,139.69
transaction-dispute,49,140.005
transaction-dispute,50,140.245
fraud-report,1,15.075
fraud-report,2,27.415
fraud-report,3,37.37
fraud-report,4,46.37
fraud-report,5,54.285
fraud-report,6,61.015
fraud-report,7,67.225
fraud-report,8,72.675
fraud-report,9,78.16
fraud-report,10,82.905
fraud-report,11,87.2
fraud-report,12,91.27
fraud-report,13,94.515
fraud-report,14,98.065
fraud-report,15,101.335
fraud-report,16,104.065
fraud-report,17,106.79
fraud-report,18,109.2
fraud-report,19,111.465
fraud-report,20,113.795
fraud-report,21,115.635
fraud-report,22,117.565
fraud-report,23,119.375
fraud-report,24,121.01
fraud-report,25,122.405
fraud-report,26,123.81
fraud-report,27,125.165
fraud-report,28,126.075
fraud-report,29,127.215
fraud-report,30,128.305
fraud-report,31,129.36
fraud-report,32,130.28
fraud-report,33,131.08
fraud-report,34,131.755
fraud-report,35,132.39
fraud-report,36,132.995
fraud-report,37,133.67
fraud-report,38,134.315
fraud-report,39,134.78
fraud-report,40,135.235
fraud-report,41,135.805
fraud-report,42,136.325
fraud-report,43,136.8
fraud-report,44,137.2
fraud-report,45,137.55
fraud-report,46,137.825
fraud-report,47,138.28
fraud-report,48,138.465
fraud-report,49,138.745
fraud-report,50,139.0
