seed,argmax_errors,lowest_score_on_target,highest_score_on_others,gap,in_sample_threshold_errors,nested_threshold_errors
0,3,0.22684049613720272,0.14686638115182962,0.0799741149853731,0,0
1,4,0.2662007657936497,0.18869730009953153,0.07750346569411817,0,0
2,1,0.23698902354118928,0.1603520676772011,0.0766369558639882,0,0
3,3,0.22884581681489355,0.16501828015222003,0.06382753666267352,0,0
4,12,0.17035509566201654,0.1554969653754837,0.01485813028653285,3,5
5,1,0.26652424990969226,0.1610039571094764,0.10552029280021585,0,0
6,3,0.19672996458210334,0.1611047187501254,0.03562524583197796,0,1
7,1,0.23284200739198632,0.18112686722556404,0.051715140166422285,0,3
8,1,0.25212964892385,0.1589926317755243,0.09313701714832567,0,0
9,8,0.21433828055818294,0.16878825203197334,0.045550028526209596,2,2
