seed,macro_f1
0,1.0
1,1.0
2,1.0
3,1.0
4,0.9807445442875481
5,0.982995951417004
6,1.0
7,0.9800853485064012
8,1.0
9,1.0
10,0.9227941176470589
11,1.0
12,1.0
13,0.9446883230904302
14,0.9800853485064012
15,0.9603174603174602
16,1.0
17,1.0
18,1.0
19,1.0
20,0.9603174603174602
21,1.0
22,0.9800853485064012
23,0.9646464646464646
24,1.0
25,1.0
26,0.982995951417004
27,1.0
28,0.9800853485064012
29,0.9807445442875481
30,1.0
31,1.0
32,0.982995951417004
33,1.0
34,0.982995951417004
35,1.0
36,1.0
37,0.9685356998789835
38,0.9800853485064012
39,0.9446883230904302
