method,seed,macro_f1,balanced_accuracy,target_recall,target_precision,log_loss
plain,0,0.9893340307364443,0.985,0.94,1.0,0.39991251208619844
class weights,0,1.0,1.0,1.0,1.0,0.4067653127118787
oversample minority,0,1.0,1.0,1.0,1.0,0.31035419350001037
undersample majority,0,0.9795544981051452,0.9834722222222222,1.0,0.9433962264150944,0.6300847272409112
plain,1,0.9860175708146574,0.98,0.92,1.0,0.38802541094479165
class weights,1,1.0,1.0,1.0,1.0,0.39816497519401073
oversample minority,1,1.0,1.0,1.0,1.0,0.29871773687151054
undersample majority,1,0.9874106996967751,0.9903124999999999,1.0,0.9615384615384616,0.6356881065112551
plain,2,0.9960935320051343,0.995,0.98,1.0,0.38461980921810207
class weights,2,1.0,1.0,1.0,1.0,0.3933418582132532
oversample minority,2,1.0,1.0,1.0,1.0,0.29688388975402874
undersample majority,2,0.972664812796713,0.9772569444444444,1.0,0.9090909090909091,0.6185565606060957
plain,3,0.989013977512984,0.985,0.94,1.0,0.3893939930013664
class weights,3,1.0,1.0,1.0,1.0,0.39692613125896464
oversample minority,3,1.0,1.0,1.0,1.0,0.3041841351320484
undersample majority,3,0.982944114177984,0.9856944444444444,1.0,0.9803921568627451,0.6266521648782735
plain,4,0.9609358194996493,0.9475,0.82,1.0,0.3984239420679877
class weights,4,0.992422711658921,0.99,0.96,1.0,0.4057849594275605
oversample minority,4,0.992422711658921,0.99,0.96,1.0,0.3084342847994822
undersample majority,4,0.9594251251437711,0.9621875,0.96,0.9056603773584906,0.6262378032549982
plain,5,0.9966959312753706,0.995,0.98,1.0,0.3978016494668342
class weights,5,1.0,1.0,1.0,1.0,0.4079024086066215
oversample minority,5,1.0,1.0,1.0,1.0,0.31975780022790756
undersample majority,5,0.9705088426316686,0.9790625,1.0,0.9090909090909091,0.6236856424330441
plain,6,0.9893340307364443,0.985,0.94,1.0,0.3957208125661005
class weights,6,1.0,1.0,1.0,1.0,0.4005679977651458
oversample minority,6,1.0,1.0,1.0,1.0,0.3070972961649834
undersample majority,6,0.9725091350481978,0.9790625,1.0,0.9259259259259259,0.6391672723848817
plain,7,0.9933451641526175,0.99,0.96,1.0,0.38822706827129566
class weights,7,1.0,1.0,1.0,1.0,0.39726163247291923
oversample minority,7,0.9979649023935879,0.9975,1.0,1.0,0.3010574300072366
undersample majority,7,0.9698820829021736,0.9754166666666667,1.0,0.9090909090909091,0.6181448309290364
plain,8,0.9960935320051343,0.995,0.98,1.0,0.391285990939405
class weights,8,1.0,1.0,1.0,1.0,0.39979105568878753
oversample minority,8,1.0,1.0,1.0,1.0,0.3032661321900379
undersample majority,8,0.9727372134735645,0.9824999999999999,1.0,0.8928571428571429,0.6308399291942038
plain,9,0.9739774938726987,0.965,0.88,1.0,0.40494606384102155
class weights,9,1.0,1.0,1.0,1.0,0.4114554093685671
oversample minority,9,1.0,1.0,1.0,1.0,0.31938228534491137
undersample majority,9,0.948080344875504,0.963125,1.0,0.8333333333333334,0.655959211040292
