method,metric,mean,sd,wins,ties,losses,sign_test_p
plain,macro_f1,0.9870841082611136,0.011374581509059335,0,10,0,1.0
class weights,macro_f1,0.9992422711658921,0.0023961489645648306,10,0,0,0.001953125
oversample minority,macro_f1,0.9967428914347332,0.004205870027258884,10,0,0,0.001953125
undersample majority,macro_f1,0.9813111683441965,0.009606792846283574,3,0,7,0.34375
plain,target_recall,0.9339999999999999,0.05081557066709201,0,10,0,1.0
class weights,target_recall,0.9960000000000001,0.012649110640673528,10,0,0,0.001953125
oversample minority,target_recall,0.992,0.016865480854231375,10,0,0,0.001953125
undersample majority,target_recall,0.9960000000000001,0.012649110640673528,10,0,0,0.001953125
plain,log_loss,0.3938357252403103,0.006472856390530171,0,10,0,1.0
class weights,log_loss,0.40179617407077084,0.005827702399919967,0,0,10,0.001953125
oversample minority,log_loss,0.3100891474623285,0.007961829541768294,10,0,0,0.001953125
undersample majority,log_loss,0.6312712740391296,0.00962550081977877,0,0,10,0.001953125
