calibrator,seed,accuracy,mean_confidence,ece,log_loss,brier,errors,cost,target_recall,target_precision,flagged,macro_f1
raw,0,0.9925,0.6853510072872274,0.3085482539037828,0.39991251208619844,0.15620729653767768,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,1,0.99,0.6911123452809048,0.30033099150893594,0.38802541094479165,0.1479924917777664,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,2,0.9975,0.6925711984183914,0.30492880158160857,0.38461980921810207,0.14624259610313572,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,3,0.9925,0.6909459085197929,0.301554091480207,0.3893939930013664,0.14948646586527997,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,4,0.97,0.6903802835142092,0.28255782643068045,0.3984239420679877,0.15486983346027128,350,350.0,1.0,0.125,1.0,0.05555555555555555
platt,0,1.0,0.9129615556585597,0.08703844434144045,0.09348468277608653,0.016035082248680887,66,66.0,1.0,0.43103448275862066,0.29,0.8161844537813181
platt,1,1.0,0.9157732524147277,0.08422674758527204,0.09014438032233618,0.015177027458249438,60,60.0,1.0,0.45454545454545453,0.275,0.8318732897537247
platt,2,1.0,0.9194986211263128,0.08050137887368711,0.0858392226975262,0.013772819596815231,63,63.0,1.0,0.4424778761061947,0.2825,0.8268986721439349
platt,3,1.0,0.9171515036887845,0.08284849631121557,0.08865303952205814,0.014480171875599239,73,73.0,1.0,0.4065040650406504,0.3075,0.8011557814209063
platt,4,0.995,0.9121427585593795,0.08285724144062051,0.1021787354302923,0.024773819403390275,63,63.0,1.0,0.4424778761061947,0.2825,0.8208765500379551
isotonic,0,1.0,0.9924317936909006,0.00756820630909945,0.008241309735980883,0.0020485374383515487,6,6.0,1.0,0.8928571428571429,0.14,0.9779225004013553
isotonic,1,1.0,0.9917203786501474,0.00827962134985271,0.009187347160330395,0.002941958061737593,8,8.0,1.0,0.8620689655172413,0.145,0.972635106337638
isotonic,2,1.0,0.9927077999822308,0.007292200017769245,0.008215790509067017,0.0029687338601717445,4,4.0,1.0,0.9259259259259259,0.135,0.9847027972027973
isotonic,3,1.0,0.9928692285169736,0.007130771483026339,0.008331405032188733,0.003492371105781743,6,6.0,1.0,0.8928571428571429,0.14,0.978127257955359
isotonic,4,0.995,0.9871807595180111,0.010985160558671414,0.023686588163677694,0.013657323245027542,6,6.0,1.0,0.8928571428571429,0.14,0.9779225004013553
