calibrator,seed,missed_fraud_cost,errors,cost,target_recall,target_precision,flagged,macro_f1
raw,0,1,3,3.0,0.94,1.0,0.1175,0.9893340307364443
raw,0,2,0,0.0,1.0,1.0,0.125,1.0
raw,0,5,24,24.0,1.0,0.6756756756756757,0.185,0.918421796758838
raw,0,10,162,162.0,1.0,0.2358490566037736,0.53,0.5690848452423035
raw,0,26,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,0,100,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,1,1,4,4.0,0.92,1.0,0.115,0.9860175708146574
raw,1,2,0,0.0,1.0,1.0,0.125,1.0
raw,1,5,13,13.0,1.0,0.7936507936507936,0.1575,0.9547198479517316
raw,1,10,167,167.0,1.0,0.2304147465437788,0.5425,0.5514497207629198
raw,1,26,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,1,100,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,2,1,1,1.0,0.98,1.0,0.1225,0.9960935320051343
raw,2,2,0,0.0,1.0,1.0,0.125,1.0
raw,2,5,13,13.0,1.0,0.7936507936507936,0.1575,0.9534902376577093
raw,2,10,162,162.0,1.0,0.2358490566037736,0.53,0.5658890304128327
raw,2,26,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,2,100,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,3,1,3,3.0,0.94,1.0,0.1175,0.989013977512984
raw,3,2,0,0.0,1.0,1.0,0.125,1.0
raw,3,5,21,21.0,1.0,0.704225352112676,0.1775,0.9280592614828407
raw,3,10,159,159.0,1.0,0.23923444976076555,0.5225,0.5826740692142782
raw,3,26,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,3,100,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,4,1,12,12.0,0.82,1.0,0.1025,0.9609358194996493
raw,4,2,4,5.0,0.98,1.0,0.1225,0.9901022610000938
raw,4,5,18,18.0,1.0,0.7352941176470589,0.17,0.9375061463165911
raw,4,10,160,160.0,1.0,0.23809523809523808,0.525,0.5678088270692954
raw,4,26,350,350.0,1.0,0.125,1.0,0.05555555555555555
raw,4,100,350,350.0,1.0,0.125,1.0,0.05555555555555555
platt,0,1,0,0.0,1.0,1.0,0.125,1.0
platt,0,2,0,0.0,1.0,1.0,0.125,1.0
platt,0,5,0,0.0,1.0,1.0,0.125,1.0
platt,0,10,10,10.0,1.0,0.8333333333333334,0.15,0.9638481687514974
platt,0,26,66,66.0,1.0,0.43103448275862066,0.29,0.8161844537813181
platt,0,100,313,313.0,1.0,0.13774104683195593,0.9075,0.1895241034169492
platt,1,1,0,0.0,1.0,1.0,0.125,1.0
platt,1,2,0,0.0,1.0,1.0,0.125,1.0
platt,1,5,3,3.0,1.0,0.9433962264150944,0.1325,0.9884811584663485
platt,1,10,11,11.0,1.0,0.819672131147541,0.1525,0.9628578327070789
platt,1,26,60,60.0,1.0,0.45454545454545453,0.275,0.8318732897537247
platt,1,100,310,310.0,1.0,0.1388888888888889,0.9,0.19997174875223656
platt,2,1,0,0.0,1.0,1.0,0.125,1.0
platt,2,2,0,0.0,1.0,1.0,0.125,1.0
platt,2,5,3,3.0,1.0,0.9433962264150944,0.1325,0.9884811584663485
platt,2,10,6,6.0,1.0,0.8928571428571429,0.14,0.9774499180538813
platt,2,26,63,63.0,1.0,0.4424778761061947,0.2825,0.8268986721439349
platt,2,100,302,302.0,1.0,0.14204545454545456,0.88,0.23135960717672793
platt,3,1,0,0.0,1.0,1.0,0.125,1.0
platt,3,2,0,0.0,1.0,1.0,0.125,1.0
platt,3,5,1,1.0,1.0,0.9803921568627451,0.1275,0.9961281044305548
platt,3,10,6,6.0,1.0,0.8928571428571429,0.14,0.9779225004013553
platt,3,26,73,73.0,1.0,0.4065040650406504,0.3075,0.8011557814209063
platt,3,100,312,312.0,1.0,0.13812154696132597,0.905,0.19452445393522544
platt,4,1,2,2.0,0.96,1.0,0.12,0.992422711658921
platt,4,2,2,4.0,0.96,1.0,0.12,0.992422711658921
platt,4,5,1,1.0,1.0,0.9803921568627451,0.1275,0.9961281044305548
platt,4,10,5,5.0,1.0,0.9090909090909091,0.1375,0.980952380952381
platt,4,26,63,63.0,1.0,0.4424778761061947,0.2825,0.8208765500379551
platt,4,100,310,310.0,1.0,0.1388888888888889,0.9,0.19785343781039622
isotonic,0,1,0,0.0,1.0,1.0,0.125,1.0
isotonic,0,2,0,0.0,1.0,1.0,0.125,1.0
isotonic,0,5,2,2.0,1.0,0.9615384615384616,0.13,0.9922890504516413
isotonic,0,10,4,4.0,1.0,0.9259259259259259,0.135,0.9847027972027973
isotonic,0,26,6,6.0,1.0,0.8928571428571429,0.14,0.9779225004013553
isotonic,0,100,12,12.0,1.0,0.8064516129032258,0.155,0.958677840408809
isotonic,1,1,0,0.0,1.0,1.0,0.125,1.0
isotonic,1,2,0,0.0,1.0,1.0,0.125,1.0
isotonic,1,5,3,3.0,1.0,0.9433962264150944,0.1325,0.9884811584663485
isotonic,1,10,7,7.0,1.0,0.8771929824561403,0.1425,0.9755971110318968
isotonic,1,26,8,8.0,1.0,0.8620689655172413,0.145,0.972635106337638
isotonic,1,100,12,12.0,1.0,0.8064516129032258,0.155,0.9595779220779221
isotonic,2,1,0,0.0,1.0,1.0,0.125,1.0
isotonic,2,2,0,0.0,1.0,1.0,0.125,1.0
isotonic,2,5,2,2.0,1.0,0.9615384615384616,0.13,0.9922890504516413
isotonic,2,10,3,3.0,1.0,0.9433962264150944,0.1325,0.9884811584663485
isotonic,2,26,4,4.0,1.0,0.9259259259259259,0.135,0.9847027972027973
isotonic,2,100,8,8.0,1.0,0.8620689655172413,0.145,0.9708208113597128
isotonic,3,1,0,0.0,1.0,1.0,0.125,1.0
isotonic,3,2,0,0.0,1.0,1.0,0.125,1.0
isotonic,3,5,1,1.0,1.0,0.9803921568627451,0.1275,0.9961281044305548
isotonic,3,10,2,2.0,1.0,0.9615384615384616,0.13,0.9922890504516413
isotonic,3,26,6,6.0,1.0,0.8928571428571429,0.14,0.978127257955359
isotonic,3,100,12,12.0,1.0,0.8064516129032258,0.155,0.9584205588607595
isotonic,4,1,2,2.0,0.96,1.0,0.12,0.992422711658921
isotonic,4,2,3,5.0,0.96,0.9795918367346939,0.1225,0.9885523468547972
isotonic,4,5,2,6.0,0.98,0.98,0.125,0.9923595708607799
isotonic,4,10,3,3.0,1.0,0.9433962264150944,0.1325,0.9884811584663485
isotonic,4,26,6,6.0,1.0,0.8928571428571429,0.14,0.9779225004013553
isotonic,4,100,8,8.0,1.0,0.8620689655172413,0.145,0.971510015887564
