condition,calibrator,seed,accuracy,ece,brier,errors
none,platt,0,1.0,0.08703844434144045,0.016035082248680887,66
none,platt,1,1.0,0.08422674758527204,0.015177027458249438,60
none,platt,2,1.0,0.08050137887368711,0.013772819596815231,63
none,platt,3,1.0,0.08284849631121557,0.014480171875599239,73
none,platt,4,0.995,0.08285724144062051,0.024773819403390275,63
none,isotonic,0,1.0,0.00756820630909945,0.0020485374383515487,6
none,isotonic,1,1.0,0.00827962134985271,0.002941958061737593,8
none,isotonic,2,1.0,0.007292200017769245,0.0029687338601717445,4
none,isotonic,3,1.0,0.007130771483026339,0.003492371105781743,6
none,isotonic,4,0.995,0.010985160558671414,0.013657323245027542,6
50% of the data,platt,0,0.97,0.16568868109797596,0.08697264728618553,104
50% of the data,platt,1,0.965,0.15375577377340588,0.09143877503297557,112
50% of the data,platt,2,0.96,0.16054178091485102,0.09175732854106759,104
50% of the data,platt,3,0.985,0.17961780263949834,0.08014623017929313,105
50% of the data,platt,4,0.95,0.13967528298787535,0.107208054842947,104
50% of the data,isotonic,0,0.975,0.03363178886600169,0.04896159666882033,28
50% of the data,isotonic,1,0.975,0.02116490580682115,0.05133086827218259,25
50% of the data,isotonic,2,0.96,0.015437346908482634,0.06406192360179877,27
50% of the data,isotonic,3,0.985,0.038106725119722254,0.03624803123554313,27
50% of the data,isotonic,4,0.955,0.01917286659829659,0.08051506279260082,28
30% of the data,platt,0,0.925,0.23067199900620783,0.17735889152719744,100
30% of the data,platt,1,0.925,0.23044302479952702,0.1915293676474084,102
30% of the data,platt,2,0.9,0.21835909642147952,0.2126384334359229,102
30% of the data,platt,3,0.925,0.213129011646179,0.18175430287585523,97
30% of the data,platt,4,0.925,0.2081720230732448,0.18719883332701173,94
30% of the data,isotonic,0,0.95,0.04389145187758896,0.09703371495414119,30
30% of the data,isotonic,1,0.95,0.08196022546158992,0.11447879741058554,49
30% of the data,isotonic,2,0.8916666666666667,0.03192864174175099,0.16959516702855673,38
30% of the data,isotonic,3,0.9333333333333333,0.05166535105383032,0.12431702931004751,29
30% of the data,isotonic,4,0.9333333333333333,0.04009378057809959,0.13319025024837602,28
15% label noise,platt,0,0.885,0.11989394164272306,0.2517620877255567,263
15% label noise,platt,1,0.8725,0.1004773714584776,0.2557528839213699,245
15% label noise,platt,2,0.8825,0.12287097235790327,0.25623300124763576,249
15% label noise,platt,3,0.875,0.11017951484707429,0.26145355579721186,247
15% label noise,platt,4,0.8775,0.1107646526556936,0.2523133128554857,267
15% label noise,isotonic,0,0.88,0.05324677771546578,0.23228911774519623,139
15% label noise,isotonic,1,0.8675,0.053946572207201955,0.24204275311439943,139
15% label noise,isotonic,2,0.8775,0.050863314275806974,0.23870768326876088,130
15% label noise,isotonic,3,0.8675,0.0564185142165414,0.2479201560635746,155
15% label noise,isotonic,4,0.865,0.05524259057305694,0.239886232540902,152
